client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
a6e84b60065be5e12b28ae48d1df461a35de7ceb6f058f94ced0f28e02ed118b23623a4a623810b357a498dc71b0eb0bee45000c84a40b33f69496032fde1721	common_voice_fa_36530313.mp3	ادارات مرکز شهر فلج ایاب و ذهاب را تشدید میکنند.	0	0					fa	
a6e84b60065be5e12b28ae48d1df461a35de7ceb6f058f94ced0f28e02ed118b23623a4a623810b357a498dc71b0eb0bee45000c84a40b33f69496032fde1721	common_voice_fa_36530314.mp3	توافق دستوری	0	0					fa	
a6e84b60065be5e12b28ae48d1df461a35de7ceb6f058f94ced0f28e02ed118b23623a4a623810b357a498dc71b0eb0bee45000c84a40b33f69496032fde1721	common_voice_fa_36530315.mp3	چگونه میتوانند با چنان درآمد کم زندگی کنند؟	0	0					fa	
a6e84b60065be5e12b28ae48d1df461a35de7ceb6f058f94ced0f28e02ed118b23623a4a623810b357a498dc71b0eb0bee45000c84a40b33f69496032fde1721	common_voice_fa_36530316.mp3	پتو	0	0					fa	
a6e84b60065be5e12b28ae48d1df461a35de7ceb6f058f94ced0f28e02ed118b23623a4a623810b357a498dc71b0eb0bee45000c84a40b33f69496032fde1721	common_voice_fa_36530317.mp3	توتون در آفتاب بهتر عمل میآید.	0	0					fa	
a6e84b60065be5e12b28ae48d1df461a35de7ceb6f058f94ced0f28e02ed118b23623a4a623810b357a498dc71b0eb0bee45000c84a40b33f69496032fde1721	common_voice_fa_36530318.mp3	مجاز	1	0					fa	
a6e84b60065be5e12b28ae48d1df461a35de7ceb6f058f94ced0f28e02ed118b23623a4a623810b357a498dc71b0eb0bee45000c84a40b33f69496032fde1721	common_voice_fa_36530319.mp3	اقدامات مجدانه	0	0					fa	
a6e84b60065be5e12b28ae48d1df461a35de7ceb6f058f94ced0f28e02ed118b23623a4a623810b357a498dc71b0eb0bee45000c84a40b33f69496032fde1721	common_voice_fa_36530320.mp3	مجعد	0	0					fa	
a6e84b60065be5e12b28ae48d1df461a35de7ceb6f058f94ced0f28e02ed118b23623a4a623810b357a498dc71b0eb0bee45000c84a40b33f69496032fde1721	common_voice_fa_36530321.mp3	مراره	1	0					fa	
a6e84b60065be5e12b28ae48d1df461a35de7ceb6f058f94ced0f28e02ed118b23623a4a623810b357a498dc71b0eb0bee45000c84a40b33f69496032fde1721	common_voice_fa_36530322.mp3	او مرا به خنده آورد.	0	0					fa	
